covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,lower 95%,upper 95%,cmp to,z,p,-log2(p)
Age,0.03295809060745949,1.0335072246736958,0.0033449091332418937,0.026402189174746286,0.03951399204017269,1.0267538147121176,1.0403050547732426,0.0,9.853209547583862,6.6389368525371e-23,73.67339395294191
Smoking PY,0.012839304009242512,1.012922081763174,0.0011376530303667143,0.0106095450428209,0.015069062975664125,1.0106660258342706,1.0151831737655423,0.0,11.285781926941164,1.5426366026848666e-29,95.71051650398599
Stage_1,-0.3192250180252736,0.7267120076062189,0.3366893144354279,-0.9791239482981939,0.34067391224764676,0.37564003483968383,1.4058947210577508,0.0,-0.9481293416173928,0.3430636125622831,1.54345198199054
Stage_2,-0.03376194238876152,0.9668016317316582,0.3305669640241952,-0.6816612863549318,0.6141374015774088,0.5057760551811377,1.8480617766379694,0.0,-0.1021334436380351,0.9186507556199265,0.12241159996525261
Stage_3,0.3790169949698291,1.4608478625978152,0.32549773553472877,-0.2589468437275826,1.0169808336672408,0.7718640513690211,2.7648346543299795,0.0,1.1644228318429888,0.24425269931816512,2.033553588900818
Stage_IVA,0.7462280849212012,2.109029913054539,0.3211090033961479,0.11686600315320139,1.375590166689201,1.1239688113229518,3.9574115663613227,0.0,2.323908943781902,0.02013037481367279,5.634482155280359
Stage_IVB,1.5037125573729668,4.498358522141227,0.3291443895149222,0.8586014082102963,2.1488237065356373,2.359857906725575,8.574766021314407,0.0,4.568549868308765,4.911102290863252e-06,17.6355216973134
Stage_nan,0.5773396228581428,1.7812932097718726,0.5490648491001843,-0.49880770655513784,1.6534869522714235,0.6072542535246765,5.225168009548477,0.0,1.0514962372919987,0.29303073663726564,1.7708760948527165
Tx Modality_RT + EGFRI,0.5426513111575033,1.7205625669516857,0.18349462243252412,0.18300845983298053,0.9022941624820261,1.200824566813134,2.465252317956654,0.0,2.957314519432583,0.003103313924796684,8.331974640376984
Tx Modality_RT alone,0.6877821633503264,1.9892986975848919,0.08187115455245247,0.527317649054807,0.8482466776458457,1.6943812823881859,2.335548290898979,0.0,8.4007873971007,4.4349470653085475e-17,54.323860728191875
